order_id,material_id,item_id,source,destination,available_time,deadline,danger_type,area,weight,order_size
ORD000001,PROD004,ITEM000001,Surat_Hub,Delhi_DC,2025-10-31 21:20:58,2025-11-07 17:20:58,Perishable,0.05,0.25,large
ORD000002,PROD011,ITEM000002,Chennai_Distribution,Mumbai_Warehouse,2025-10-10 21:20:58,2025-10-14 10:20:58,Perishable,0.26,1.14,small
ORD000003,PROD014,ITEM000003,Bangalore_Hub,Jaipur_Hub,2025-09-20 21:20:58,2025-09-23 02:20:58,Perishable,0.24,1.65,small
ORD000004,PROD012,ITEM000004,Lucknow_Center,Ranchi_Distribution,2025-10-31 21:20:58,2025-11-06 07:20:58,Perishable,1.53,3.1,small
ORD000005,PROD007,ITEM000005,Ranchi_Distribution,Kolkata_Center,2025-11-05 21:20:58,2025-11-12 07:20:58,Hazardous,1.83,11.83,small
ORD000006,PROD015,ITEM000006,Bhopal_DC,Kanpur_WH,2025-09-28 21:20:58,2025-10-05 06:20:58,Hazardous,0.04,0.35,large
ORD000007,PROD011,ITEM000007,Chandigarh_Facility,Amritsar_DC,2025-10-17 21:20:58,2025-10-20 11:20:58,Perishable,0.24,0.81,medium
ORD000008,PROD014,ITEM000008,Surat_Hub,Kanpur_WH,2025-11-05 21:20:58,2025-11-09 10:20:58,Normal,0.37,1.93,medium
ORD000009,PROD012,ITEM000009,Kanpur_WH,Patna_WH,2025-09-20 21:20:58,2025-09-25 22:20:58,Fragile,0.64,1.76,large
ORD000010,PROD003,ITEM000010,Vadodara_Center,Delhi_DC,2025-10-16 21:20:58,2025-10-21 09:20:58,Normal,0.96,2.14,medium
ORD000011,PROD001,ITEM000011,Patna_WH,Surat_Hub,2025-10-02 21:20:58,2025-10-05 09:20:58,Normal,0.28,0.76,small
ORD000012,PROD006,ITEM000012,Vadodara_Center,Jaipur_Hub,2025-10-09 21:20:58,2025-10-15 02:20:58,Perishable,0.56,1.27,large
ORD000013,PROD014,ITEM000013,Kanpur_WH,Patna_WH,2025-10-14 21:20:58,2025-10-16 06:20:58,Hazardous,0.4,2.04,large
ORD000014,PROD007,ITEM000014,Ahmedabad_DC,Bangalore_Hub,2025-11-11 21:20:58,2025-11-13 22:20:58,Normal,3.04,8.05,small
ORD000015,PROD005,ITEM000015,Kanpur_WH,Delhi_DC,2025-10-26 21:20:58,2025-10-31 20:20:58,Fragile,0.12,0.63,medium
ORD000016,PROD002,ITEM000016,Hyderabad_WH,Pune_Facility,2025-10-09 21:20:58,2025-10-14 22:20:58,Fragile,1.01,5.12,large
ORD000017,PROD011,ITEM000017,Ahmedabad_DC,Vadodara_Center,2025-11-01 21:20:58,2025-11-07 18:20:58,Hazardous,0.06,0.57,medium
ORD000018,PROD002,ITEM000018,Ranchi_Distribution,Hyderabad_WH,2025-10-20 21:20:58,2025-10-25 13:20:58,Hazardous,1.63,7.42,medium
ORD000019,PROD004,ITEM000019,Surat_Hub,Lucknow_Center,2025-10-24 21:20:58,2025-10-31 00:20:58,Hazardous,0.06,0.23,medium
ORD000020,PROD014,ITEM000020,Lucknow_Center,Mumbai_Warehouse,2025-10-06 21:20:58,2025-10-12 02:20:58,Normal,0.39,1.19,large
ORD000021,PROD014,ITEM000021,Amritsar_DC,Vadodara_Center,2025-09-21 21:20:58,2025-09-25 22:20:58,Fragile,0.47,2.44,medium
ORD000022,PROD011,ITEM000022,Pune_Facility,Lucknow_Center,2025-09-30 21:20:58,2025-10-03 08:20:58,Normal,0.48,1.04,large
ORD000023,PROD001,ITEM000023,Lucknow_Center,Vadodara_Center,2025-10-11 21:20:58,2025-10-16 18:20:58,Hazardous,0.16,1.17,medium
ORD000024,PROD004,ITEM000024,Bhopal_DC,Hyderabad_WH,2025-11-09 21:20:58,2025-11-16 15:20:58,Hazardous,0.2,0.81,large
ORD000025,PROD015,ITEM000025,Hyderabad_WH,Lucknow_Center,2025-09-26 21:20:58,2025-10-03 00:20:58,Normal,0.19,0.88,medium
ORD000026,PROD003,ITEM000026,Surat_Hub,Bangalore_Hub,2025-09-30 21:20:58,2025-10-04 06:20:58,Hazardous,0.83,2.12,medium
